"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"310","ashlene01",1,12,20,2,2,1,0,0,1,0,0,0,8,0,1,0
"311","asprobo01",13,1324,4369,386,1103,135,26,60,457,19,24,333,459,52,29,36
"312","asproke01",15,475,1483,171,369,69,3,19,124,7,5,179,149,4,6,13
"313","asselbr01",6,284,574,52,146,27,4,12,68,5,4,38,74,6,3,5
"314","assenpa01",18,884,36,3,3,1,0,0,0,0,0,5,12,0,0,7
"315","astacez01",2,28,21,0,3,0,0,0,0,0,0,0,12,0,0,2
"316","astacpe01",21,395,676,31,90,7,1,0,28,0,1,5,256,0,5,89
"317","asuajca01",1,7,24,2,5,2,0,0,2,0,0,1,4,0,0,0
"318","atchisc01",9,300,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"319","atchlju01",1,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"320","atherke01",9,342,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"321","atilalu01",1,16,25,0,1,0,0,0,0,0,0,0,10,0,0,2
"322","atkinbi01",4,99,10,0,3,0,0,0,1,0,0,0,1,0,0,1
"323","atkinga01",8,817,2928,399,835,169,7,99,488,8,4,291,449,12,20,0
"324","atkinmi01",3,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"325","aubremi01",2,46,135,14,35,7,0,6,17,0,0,10,15,0,0,0
"326","aucoide01",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"327","auderi01",3,62,151,11,34,9,0,2,24,1,2,7,35,0,0,0
"328","auerbri01",11,624,1407,167,309,56,5,9,86,36,21,127,198,10,6,22
"329","augenbr01",2,12,4,1,1,0,0,0,0,0,0,1,1,0,0,0
"330","augusda01",2,29,29,4,6,1,0,0,0,0,1,0,6,0,0,0
"331","augusdo01",4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","augusje01",10,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","aultdo01",4,256,713,66,168,29,5,17,86,4,5,71,108,6,7,5
"334","aumonph01",4,46,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"335","aurilri01",17,1652,5721,745,1576,301,22,186,756,23,18,450,861,22,24,36
"336","ausanjo01",2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"337","ausmubr01",20,1971,6279,718,1579,270,34,80,607,102,53,634,1034,69,69,82
"338","austde01",2,15,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"339","austije01",3,38,8,0,1,0,0,0,0,0,0,0,5,0,0,2
"340","austiji02",3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","austiri01",4,89,19,0,2,1,0,0,0,0,0,3,11,0,0,0
"342","austity01",1,31,83,7,20,3,0,5,12,1,0,7,36,0,0,0
"343","autryal01",1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"344","avenbr01",7,259,609,85,166,33,2,20,103,6,4,57,135,1,11,0
"345","averiea02",9,449,1031,137,249,41,0,44,159,3,3,162,220,8,8,5
"346","averyst01",11,306,437,35,76,14,4,4,32,1,1,12,135,0,0,41
"347","averyxa01",1,32,94,14,21,6,1,1,6,6,3,11,23,0,0,2
"348","avilaal01",8,740,2253,265,540,117,7,73,293,7,7,363,731,12,12,9
"349","avilalu01",7,268,4,0,1,0,0,0,0,0,0,0,0,0,0,2
"350","avilemi01",11,878,2923,375,766,137,13,59,298,78,31,135,409,4,14,35
"351","avilera01",4,117,190,21,51,9,0,2,24,0,0,21,22,3,1,9
"352","axelrdy01",5,59,8,1,1,0,0,0,0,0,0,0,6,0,0,1
"353","axforjo01",12,471,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"354","ayalabe01",10,425,865,114,217,42,1,38,145,2,4,71,136,7,2,1
"355","ayalabo01",10,406,31,2,2,1,0,0,1,0,1,0,13,0,0,3
"356","ayalalu01",15,534,14,0,4,1,0,0,0,0,0,0,3,0,0,3
"357","aybarer01",13,1346,4842,606,1324,241,45,51,451,144,58,257,613,16,48,72
"358","aybarma01",13,210,70,6,13,0,0,1,5,0,0,2,28,0,0,4
"359","aybarwi01",7,405,1219,137,315,68,2,33,157,7,5,142,206,6,14,7
"360","ayraubo01",4,54,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"361","ayraujo01",1,7,5,0,1,0,0,0,0,0,0,0,1,0,1,0
"362","azcuejo01",20,909,2828,201,712,94,9,50,304,5,12,207,344,45,17,11
"363","azocaos01",3,202,439,38,99,16,0,5,36,10,0,12,36,2,2,4
"364","babcobo01",3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","babitsh01",1,54,156,10,40,1,3,0,14,5,4,13,13,1,0,2
"366","backebr01",8,153,133,22,34,5,2,4,16,1,0,10,48,0,2,13
"367","backmwa01",14,1102,3245,482,893,138,19,10,240,117,52,371,480,9,5,68
"368","bacsimi01",5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","bacsimi02",5,51,50,1,5,2,0,0,3,0,0,1,10,0,0,7
"370","badenbu01",8,418,33,1,3,1,0,0,2,0,0,1,19,0,0,5
"371","baekch01",6,61,30,2,5,1,0,1,2,0,0,1,8,0,0,8
"372","baergca01",18,1630,5439,731,1583,279,17,134,774,59,24,291,580,41,73,26
"373","baezbe01",1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"374","baezda01",12,533,6,1,1,0,0,0,0,0,0,0,1,0,0,0
"375","baezja01",3,222,710,79,173,31,1,24,83,18,6,34,227,4,12,1
"376","baezjo01",2,114,355,47,87,14,2,1,19,7,1,25,27,2,1,10
"377","baezke01",3,63,151,10,27,10,0,0,7,0,0,13,17,1,0,4
"378","baezpe01",3,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"379","bagweje01",15,2150,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,128,3
"380","bahnsst01",22,575,479,22,56,8,2,1,19,0,0,19,225,0,1,43
"381","bailean01",9,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","bailebo01",19,1931,6082,772,1564,234,43,189,773,85,83,852,1126,67,17,40
"383","baileco01",8,172,2,2,1,0,0,0,0,0,0,2,0,0,0,1
"384","baileho01",3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"385","baileho02",10,178,314,18,49,6,0,0,17,0,0,10,120,0,1,41
"386","baileje01",3,56,136,25,31,4,3,6,16,0,0,19,39,1,4,0
"387","baileji01",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0
"388","bailema01",7,340,949,101,209,37,1,24,101,2,5,166,222,23,3,3
"389","bailero01",3,93,97,15,20,1,1,1,8,0,0,6,22,0,0,11
"390","bailesc01",9,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"391","bailest01",2,34,10,0,0,0,0,0,0,0,0,1,5,0,0,0
"392","bailobo01",11,955,2937,339,775,107,23,9,222,90,36,187,164,10,20,42
"393","baineha01",32,2830,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,14,9
"394","bairdbo01",2,8,6,0,1,0,0,0,0,0,0,0,2,0,0,0
"395","bairdo01",21,584,52,2,5,1,0,1,4,0,0,0,23,0,0,4
"396","baislje01",1,14,43,1,11,1,0,0,5,0,0,4,7,0,0,0
"397","bajenje01",3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"398","bakenda01",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","bakerch02",3,93,146,14,27,2,3,0,9,0,0,3,27,0,0,9
"400","bakerda01",1,9,20,3,5,1,0,0,2,0,0,3,3,0,2,1
"401","bakerdo01",7,136,246,38,51,11,2,0,22,3,0,18,62,0,3,8
"402","bakerdu01",19,2039,7117,964,1981,320,23,242,1013,137,73,762,926,52,30,27
"403","bakerfr02",2,125,353,39,82,17,4,4,38,3,4,26,68,3,2,0
"404","bakerfr03",4,146,288,28,55,8,3,1,24,4,2,40,60,3,2,2
"405","bakerja01",2,14,26,1,3,0,0,1,2,0,0,1,6,0,0,0
"406","bakerje03",18,748,1793,244,474,108,15,54,235,14,1,139,472,6,9,1
"407","bakerjo01",7,359,1076,124,266,57,1,14,120,2,1,127,269,15,10,8
"408","bakersc01",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409","bakersc02",10,193,32,1,3,1,0,0,0,0,0,0,13,0,0,6
"410","bakerst01",6,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411","bakerto02",1,10,3,0,0,0,0,0,0,0,0,0,2,0,0,0
"412","bakopa01",17,789,2202,195,508,98,11,24,195,4,9,233,589,36,7,16
"413","balasmi01",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"414","balazjo01",2,59,162,14,39,8,1,2,15,0,0,7,35,0,1,2
